ID,parents,has_nurs,form,children,housing,finance,social,health,app_status
1,1,1,1,3,2,1,1,1,0
2,2,2,3,1,1,2,2,1,0
3,2,3,2,1,3,1,3,2,1
4,3,4,1,1,1,1,2,3,1
5,3,1,3,1,1,1,3,2,1
6,3,2,4,1,1,2,3,1,0
7,3,4,1,4,1,1,1,1,0
8,2,2,4,1,2,1,2,2,0
9,1,2,2,3,2,2,1,1,0
10,3,2,3,3,1,2,3,1,0
11,3,2,1,3,2,2,1,2,0
12,3,3,1,3,2,1,3,2,0
13,1,1,2,1,1,1,3,2,1
14,2,2,4,2,2,1,1,2,0
15,1,4,1,2,1,2,1,2,1
16,3,2,1,1,1,1,1,1,0
17,3,1,2,1,1,1,3,2,1
18,2,2,2,1,3,1,2,1,0
19,1,1,3,1,2,2,3,3,1
20,3,3,3,2,1,2,2,2,1
21,1,1,1,1,1,2,3,2,1
22,3,3,1,1,2,1,2,3,1
23,2,2,1,2,1,2,3,1,0
24,2,1,4,2,3,2,1,1,0
25,2,4,2,1,2,2,2,3,1
26,3,2,1,2,2,2,1,1,0
27,2,3,4,2,2,2,3,3,1
28,3,4,4,1,3,1,1,3,0
29,1,2,3,2,2,1,2,2,0
30,2,2,1,4,1,1,2,3,1
31,3,4,1,4,2,1,3,3,0
32,2,3,3,3,1,1,3,1,0
33,3,1,1,3,3,1,1,2,0
34,1,4,3,4,2,2,1,2,1
35,1,2,1,1,3,1,2,2,0
36,1,4,3,1,1,1,3,3,1
37,1,4,4,4,2,1,3,1,0
38,1,1,4,1,1,2,1,1,0
39,3,2,2,2,2,2,3,3,0
40,2,2,3,3,2,2,1,2,0
41,3,2,3,1,1,2,1,3,0
42,2,3,3,2,2,1,1,3,1
43,2,4,2,1,2,1,2,1,0
44,2,3,1,1,3,1,3,1,0
45,1,1,3,3,3,2,1,3,1
46,3,4,3,1,3,2,1,3,0
47,3,1,4,3,3,1,2,3,1
48,3,4,3,2,2,1,2,3,0
49,1,2,3,1,2,2,3,2,0
50,2,1,1,4,2,2,1,1,0
51,3,1,3,4,1,1,3,1,0
52,1,3,2,2,2,1,3,3,1
53,1,1,1,4,2,1,1,3,1
54,2,1,3,3,1,2,3,2,1
55,2,2,2,1,1,1,3,1,0
56,2,1,4,1,1,1,3,1,0
57,2,1,4,1,3,2,2,1,0
58,2,4,3,2,3,1,2,3,1
59,2,1,3,2,2,1,2,3,1
60,3,3,4,1,3,2,3,2,0
61,2,2,2,3,2,1,3,1,0
62,3,3,2,2,2,2,3,3,1
63,1,4,1,2,1,1,1,1,0
64,3,2,1,1,1,1,3,1,0
65,3,1,3,3,1,1,2,1,0
66,2,3,2,4,3,1,1,3,1
67,1,3,2,1,3,2,3,1,0
68,2,2,1,4,2,1,2,2,0
69,3,3,4,2,2,2,3,2,0
70,1,2,3,4,3,2,2,2,0
71,3,3,4,1,2,1,2,2,0
72,2,2,2,2,1,2,3,2,0
73,1,4,1,4,1,1,3,2,1
74,1,2,2,2,3,1,3,2,0
75,3,4,1,3,1,2,1,3,0
76,1,2,2,2,2,2,2,1,0
77,2,4,4,4,3,1,2,3,1
78,3,1,2,4,2,1,3,1,0
79,2,4,4,2,1,2,3,2,0
80,1,1,2,1,3,2,3,2,1
81,3,3,1,3,1,1,2,3,1
82,2,2,4,2,1,1,2,3,1
83,3,2,1,4,1,2,3,1,0
84,2,4,3,4,2,2,2,2,0
85,2,2,1,2,3,2,2,2,0
86,3,2,4,1,1,2,3,2,0
87,3,1,1,4,2,2,2,1,0
88,1,3,4,4,2,2,2,1,0
89,2,4,4,2,1,2,3,3,1
90,3,2,4,3,1,2,2,1,0
91,3,3,2,3,1,1,2,2,1
92,3,2,1,3,3,1,1,1,0
93,1,3,3,2,2,2,2,3,1
94,1,3,4,2,3,2,3,3,1
95,2,4,3,1,1,1,1,1,0
96,2,3,2,3,2,2,2,2,1
97,2,3,4,2,3,2,2,2,1
98,1,4,2,4,1,1,1,2,1
99,3,3,4,2,1,2,1,2,0
100,3,2,2,1,2,1,3,1,0
101,2,4,3,4,1,1,2,1,0
102,1,2,2,2,2,2,3,2,0
103,1,1,4,4,3,2,3,2,1
104,1,3,2,2,1,2,3,1,0
105,3,2,4,2,2,2,2,3,0
106,2,4,2,4,1,2,3,3,1
107,1,3,2,2,2,2,3,2,1
108,3,2,3,1,3,2,2,1,0
109,2,4,4,4,3,1,3,2,0
110,2,2,2,4,1,1,2,3,1
111,2,2,2,4,1,1,1,2,0
112,1,2,3,2,3,1,2,1,0
113,2,3,4,4,3,2,3,1,0
114,1,3,1,1,3,2,2,2,1
115,3,2,2,4,3,2,2,3,0
116,1,4,1,4,2,2,1,3,1
117,2,3,2,4,3,1,2,2,1
118,1,4,1,2,2,1,2,2,1
119,1,4,2,3,1,2,3,3,1
120,3,1,1,1,1,1,3,2,1
121,1,4,3,1,3,1,3,3,1
122,2,2,4,3,3,2,2,2,0
123,3,4,3,2,2,2,1,2,0
124,1,2,4,2,3,1,3,1,0
125,2,1,3,4,2,1,3,2,1
126,2,1,2,3,1,2,1,1,0
127,2,2,4,3,1,2,3,1,0
128,2,1,4,2,2,2,1,2,1
129,2,2,1,1,2,1,1,2,0
130,3,3,2,4,3,2,3,3,1
131,2,2,4,3,3,1,2,1,0
132,3,1,1,1,3,2,2,3,1
133,3,3,4,4,1,1,1,2,1
134,2,4,4,4,2,1,1,2,0
135,3,1,2,2,2,1,1,3,0
136,1,2,3,2,1,1,3,3,1
137,3,2,2,1,1,1,1,3,0
138,3,3,3,2,3,2,3,1,0
139,1,3,3,1,1,1,2,1,0
140,2,2,2,3,1,2,2,2,0
141,3,2,3,2,3,2,3,1,0
142,1,3,2,2,2,2,2,3,1
143,3,2,2,4,1,1,3,1,0
144,1,2,2,2,2,1,1,1,0
145,3,3,2,1,3,2,3,2,1
146,2,4,2,3,3,1,3,2,0
147,3,2,3,4,1,2,2,3,0
148,1,4,2,1,1,2,1,1,0
149,2,1,4,2,2,2,3,2,1
150,2,2,3,2,2,2,3,1,0
151,2,1,4,2,2,2,2,3,1
152,2,3,1,3,3,1,1,1,0
153,1,4,3,4,2,2,2,2,1
154,1,1,3,2,1,2,3,2,1
155,1,1,3,1,3,1,2,1,0
156,1,1,3,3,2,2,1,1,0
157,3,2,2,4,2,2,2,1,0
158,1,1,3,3,3,2,2,1,0
159,1,2,4,1,1,2,2,2,0
160,2,2,4,1,2,1,3,2,0
161,1,3,3,4,2,1,3,3,1
162,2,4,2,2,3,2,2,2,0
163,1,1,1,1,1,1,2,1,0
164,2,3,1,4,1,2,1,2,1
165,1,2,3,3,2,1,3,2,0
166,3,1,3,2,3,2,2,2,1
167,2,1,4,2,1,2,2,2,1
168,1,3,4,4,1,1,1,2,1
169,3,4,2,1,2,1,1,2,0
170,2,3,3,4,3,2,3,2,1
171,1,3,4,1,1,2,1,3,1
172,3,2,1,4,1,1,1,2,0
173,1,3,4,2,1,2,1,2,1
174,1,3,2,2,1,2,3,2,1
175,1,2,2,1,3,1,2,1,0
176,3,4,2,4,2,1,2,1,0
177,2,4,4,3,1,2,2,1,0
178,2,4,3,3,1,1,2,3,1
179,2,2,4,4,3,2,2,2,0
180,2,2,3,4,1,1,3,2,0
181,2,2,4,4,3,1,1,1,0
182,3,3,2,3,1,1,2,3,1
183,3,2,3,3,1,1,1,2,0
184,3,2,3,2,2,2,2,1,0
185,1,2,1,3,3,2,1,3,0
186,3,2,2,2,2,2,1,1,0
187,1,2,3,1,3,2,2,3,1
188,2,3,4,4,1,1,3,1,0
189,3,4,1,3,3,2,1,2,0
190,3,3,4,2,1,1,3,3,1
191,3,4,2,1,1,2,1,2,0
192,3,2,2,1,2,2,3,1,0
193,3,3,1,2,1,1,2,2,1
194,3,2,2,3,1,2,2,3,0
195,1,3,4,3,3,2,2,2,1
196,3,2,4,2,2,2,1,1,0
197,2,4,4,2,2,1,2,1,0
198,2,2,3,1,1,1,2,1,0
199,2,2,3,2,1,1,1,3,0
200,3,2,1,1,1,1,1,2,1
201,1,1,4,2,1,1,3,1,0
202,2,3,1,2,3,1,1,1,0
203,1,4,1,2,2,2,3,1,0
204,1,4,4,2,3,2,3,3,1
205,3,4,2,1,1,2,1,3,0
206,1,2,4,3,1,2,3,3,0
207,1,3,3,2,2,1,2,1,0
208,2,2,1,3,1,1,1,2,0
209,3,4,4,2,2,1,1,2,0
210,1,2,2,4,3,2,2,3,0
211,2,2,3,1,1,2,1,1,0
212,2,2,4,4,2,2,2,2,0
213,3,4,4,2,3,1,1,2,0
214,1,2,2,4,1,1,2,1,0
215,3,2,2,2,1,2,3,1,0
216,1,3,2,1,2,1,2,2,1
217,3,2,2,4,2,2,1,3,0
218,1,1,2,2,1,2,2,3,1
219,1,4,1,2,2,1,3,3,1
220,1,4,1,2,1,1,1,2,1
221,2,2,4,3,1,1,1,1,0
222,2,2,3,2,3,1,2,2,0
223,1,2,2,3,1,2,2,1,0
224,3,3,2,1,1,2,3,2,1
225,2,3,3,3,2,1,3,1,0
226,3,1,2,4,2,2,3,2,0
227,3,3,1,1,3,1,1,2,1
228,3,2,4,1,3,2,1,1,0
229,2,3,4,2,3,1,1,2,1
230,1,3,2,1,3,1,3,2,1
231,3,2,4,1,1,2,2,1,0
232,2,4,2,1,3,1,2,2,1
233,2,2,1,1,1,2,1,2,0
234,1,2,4,2,1,2,2,1,0
235,3,2,2,2,3,2,2,1,0
236,3,2,1,3,2,1,1,1,0
237,2,4,1,4,1,1,1,3,1
238,2,2,3,4,2,2,1,2,0
239,3,2,3,3,1,1,2,2,0
240,1,2,4,1,2,2,1,1,0
241,2,3,1,4,1,1,3,3,1
242,3,1,3,3,3,2,3,2,0
243,3,3,2,4,1,2,1,2,0
244,3,2,2,3,3,2,3,1,0
245,2,1,4,3,2,2,2,2,1
246,3,2,4,4,3,2,1,1,0
247,2,1,3,1,2,2,2,2,1
248,2,4,4,3,1,1,3,2,1
249,2,2,3,4,3,1,2,2,0
250,3,4,3,4,2,1,1,3,0
251,1,2,2,4,2,2,2,3,0
252,3,1,4,1,2,2,1,3,0
253,2,4,4,4,3,2,2,2,0
254,1,2,2,4,3,2,1,3,0
255,1,4,3,4,1,1,3,3,1
256,1,1,3,2,2,1,2,2,1
257,1,3,4,3,2,1,3,2,1
258,3,2,4,4,1,1,3,1,0
259,3,1,3,2,1,2,3,2,1
260,1,2,2,4,3,1,3,3,0
261,2,3,4,2,3,2,1,2,1
262,2,2,2,2,2,2,1,1,0
263,3,2,2,2,2,1,3,3,0
264,3,1,4,3,1,2,2,2,0
265,2,1,1,4,2,1,3,1,0
266,3,2,3,3,1,1,1,2,0
267,1,2,1,4,1,1,1,2,1
268,3,3,1,3,2,2,1,1,0
269,3,2,3,2,2,1,1,2,0
270,1,1,3,4,3,1,3,2,1
271,3,2,1,1,3,2,2,3,1
272,2,2,1,1,3,2,1,1,0
273,3,2,4,2,2,1,2,1,0
274,1,4,2,2,2,2,3,1,0
275,3,4,4,1,1,2,1,3,0
276,1,4,3,4,2,2,3,2,1
277,2,4,3,3,2,1,1,3,0
278,2,1,1,4,2,1,1,2,1
279,3,2,4,2,3,1,1,3,0
280,2,2,3,1,3,1,3,2,0
281,2,1,3,2,1,1,3,3,1
282,2,1,2,3,1,1,3,2,1
283,1,4,1,1,3,2,3,2,1
284,2,1,2,2,3,2,1,3,1
285,2,1,2,2,1,2,3,1,0
286,2,3,3,3,3,1,2,2,1
287,3,2,1,3,2,2,2,2,0
288,1,2,2,4,3,1,1,3,0
289,3,2,2,1,3,2,1,3,0
290,3,4,4,3,3,2,3,2,0
291,2,1,3,2,3,1,2,2,1
292,2,2,2,4,3,1,2,3,0
293,3,2,3,4,1,1,2,1,0
294,3,2,2,3,1,1,3,1,0
295,1,2,4,2,2,2,1,1,0
